# Out-of-sample ladder: Calgary corpus (18 files), LZ4HC-9 literals, PH, M4, reps=7
# 372KB total lits; files 2.9-66KB; extractor identical to the Silesia pipeline.
# Nudge/auto/exact design frozen from Silesia tuning — nothing adjusted for Calgary.
# (bench gained inner-loop timing so tiny files span >= ~8MB per timed region)

LADDER G=4K reps=7 fse=0 (PH)
file            cfg    ratio   enc-e2e   dec-e2e     enc-k     dec-k build u/w   adopted
geo.lits      exact   0.7758       158      8474      4613      9956      94.3       4/4
news.lits       off   0.7546      1155      7096      3793      8328       7.8         -
news.lits     nudge   0.7563      1080      9036      4402     10804       9.0       3/4
news.lits      auto   0.7557       809     10776      5310     12995      13.5       4/4
news.lits     exact   0.7560       413     10613      5286     12856      28.8       4/4
obj1.lits       off   0.9239       578      5889      3532      7540      12.0         -
obj1.lits     nudge   0.9293       647      7493      4522      9440      11.0       1/1
obj1.lits      auto   0.9295       383      8220      4972     10815      20.0       1/1
obj1.lits     exact   0.9274        67      7581      4834      9827     123.0       1/1
obj2.lits       off   0.9038       801      6750      3752      8061      13.0         -
obj2.lits     nudge   0.9047       755      7575      4125      9087      14.3       3/3
obj2.lits      auto   0.9066       502      7637      4333      9186      23.3       2/3
obj2.lits     exact   0.9090       145      9087      5248     10855      88.7       3/3
paper1.lits     off   0.7292       840      6120      3449      7856       6.0         -
paper1.lits   nudge   0.7265       627      7579      4127      9790       9.0       1/1
paper1.lits    auto   0.7282       384      8623      5003     11400      16.0       1/1
paper1.lits   exact   0.7274       212      8695      4935     11653      30.0       1/1
paper2.lits     off   0.6788       807      7593      3653      8814       8.0         -
paper2.lits   nudge   0.6788       736      6934      3672      8641       9.0       0/1
paper2.lits    auto   0.6757       349      9825      4690     12542      22.0       1/1
paper2.lits   exact   0.6765       173      9344      4475     11901      46.0       1/1
paper3.lits     off   0.6847       744      6973      3490      8887       7.0         -
paper3.lits   nudge   0.6847       744      6749      3487      8821       7.0       0/1
paper3.lits    auto   0.6811       430      9544      4758     12392      14.0       1/1
paper3.lits   exact   0.6811       233      9544      4718     12428      27.0       1/1
paper4.lits     off   0.7135       532      5421      3331      8195       5.0         -
paper4.lits   nudge   0.7135       532      5403      3308      8187       5.0       0/1
paper4.lits    auto   0.7100       246      6221      3603      9623      12.0       1/1
paper4.lits   exact   0.7100       145      6170      3611      9623      21.0       1/1
paper5.lits     off   0.7579       694      4047      2404      6014       3.0         -
paper5.lits   nudge   0.7503       501      5483      3490      8331       5.0       1/1
paper5.lits    auto   0.7459       271      6242      3787      9928      10.0       1/1
paper5.lits   exact   0.7456       129      6658      4562     10797      22.0       1/1
paper6.lits     off   0.7405       734      6469      3546      8650       6.0         -
paper6.lits   nudge   0.7405       583      6266      3640      8162       8.0       0/1
paper6.lits    auto   0.7410       251      8650      4881     11952      21.0       1/1
paper6.lits   exact   0.7407       135      8926      5006     12486      40.0       1/1
pic.lits        off   0.7101      1041      8096      4171      9277      11.5         -
pic.lits      nudge   0.7115      1068     10655      5420     12663      12.0       2/2
pic.lits       auto   0.7162       821     13263      6554     16053      17.0       2/2
pic.lits      exact   0.7098       265     12046      5967     14327      57.5       2/2
progc.lits      off   0.7586       754      6655      3893      8688       6.0         -
progc.lits    nudge   0.7620       674      7932      4237     10235       7.0       1/1
progc.lits     auto   0.7583       429      9024      5258     12433      12.0       1/1
progc.lits    exact   0.7583       192      8180      4742     11721      28.0       1/1
progl.lits      off   0.7241       676      5291      3108      7070       6.0         -
progl.lits    nudge   0.7172       569      7939      4672     10969       8.0       1/1
progl.lits     auto   0.7187       394      8069      4476     11219      12.0       1/1
progl.lits    exact   0.7183       207      8624      5126     12753      24.0       1/1
progp.lits      off   0.7635       692      5402      3550      7451       5.0         -
progp.lits    nudge   0.7635       692      5402      3547      7477       5.0       0/1
progp.lits     auto   0.7581       360      7627      4496     11068      11.0       1/1
progp.lits    exact   0.7600       187      7378      4572     10952      22.0       1/1
trans.lits      off   0.7588       847      6793      3846      8455       7.0         -
trans.lits    nudge   0.7584       699      7437      4044      9455       9.0       1/1
trans.lits     auto   0.7586       526     10177      5228     13369      13.0       1/1
trans.lits    exact   0.7584       251     10314      5665     13520      29.0       1/1
== geomean over 18 files (G=16K)
   off: enc-e2e    773 ( +0.0%)  dec-e2e   6448 ( +0.0%)  enc-k   3486  dec-k   8057  ratio +0.000pp
 nudge: enc-e2e    726 ( -6.1%)  dec-e2e   7433 (+15.3%)  enc-k   4055  dec-k   9433  ratio -0.015pp
  auto: enc-e2e    448 (-42.0%)  dec-e2e   8839 (+37.1%)  enc-k   4746  dec-k  11565  ratio -0.091pp
 exact: enc-e2e    204 (-73.6%)  dec-e2e   8969 (+39.1%)  enc-k   4892  dec-k  11806  ratio -0.112pp

LADDER G=32K reps=7 fse=0 (PH)
file            cfg    ratio   enc-e2e   dec-e2e     enc-k     dec-k build u/w   adopted
bib.lits        off   0.7277       343      6383      2312      6908      29.0         -
bib.lits      nudge   0.7277       612      8965      3772      9859      16.0       0/1
bib.lits       auto   0.7295       372     10487      4844     12408      29.0       1/1
bib.lits      exact   0.7298       246     10383      4708     12408      45.0       1/1
book1.lits      off   0.6631      1428      8313      4003      9033      10.0         -
book1.lits    nudge   0.6631      1394      8257      3975      8919      10.3       0/3
book1.lits     auto   0.6642      1057     12027      5566     13506      17.0       3/3
